epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68237,1.76459,2.50361,13.8378,1.39288,0.02116,0.4,0.06046,0.01235,0,0,0,0,1.77052,8.22766,2.55208,1.43113,0.0677417,0.000658333,0.000658333
2,15.6246,2.36474,2.43914,3.93574,1.95747,0.0032,0.8,0.11249,0.03263,0.0028,0.7,0.08348,0.01239,1.74374,1.3512,2.24218,1.64575,0.035075,0.00132499,0.00132499
3,22.0525,2.13934,1.99189,3.03737,1.81893,0.33139,0.4,0.3197,0.08028,0.33139,0.4,0.2359,0.05239,1.62191,1.33141,4.03158,1.61039,0.00240828,0.00199161,0.00199161
4,28.8745,2.03114,1.66313,2.79377,1.70261,0.04495,0.3,0.0244,0.00641,0.18003,0.1,0.13128,0.02421,1.78578,1.21842,3.7379,1.82059,0.00199988,0.00199988,0.00199988
5,35.7781,2.53283,1.99364,2.80561,2.06597,0.12581,0.4,0.20487,0.04748,0.24741,0.39482,0.24303,0.04549,1.85351,1.28329,1.34213,1.59287,0.00199978,0.00199978,0.00199978
6,42.4179,2.10549,1.75126,2.43423,1.80568,0.25003,0.3,0.22104,0.07114,0.28995,0.2,0.23014,0.04131,1.70106,1.32869,1.636,1.44586,0.00199965,0.00199965,0.00199965
7,49.5544,1.90598,1.62701,2.46144,1.71299,0.21785,0.4,0.18336,0.05381,0.35117,0.3,0.30194,0.06726,1.56953,1.10217,1.4532,1.35592,0.0019995,0.0019995,0.0019995
8,56.3088,2.15904,1.75288,2.42454,1.8084,0.39697,0.5,0.34787,0.09337,0.38038,0.5,0.42109,0.10019,1.43255,1.12997,2.61909,1.3364,0.00199932,0.00199932,0.00199932
9,63.4037,2.13206,1.60318,2.2805,1.76667,0.2112,0.3,0.19994,0.05063,0.14155,0.2,0.11852,0.02654,1.7035,1.30252,1.89089,1.58398,0.00199912,0.00199912,0.00199912
10,70.3605,1.79941,1.44109,2.05218,1.56936,0.29572,0.4,0.27468,0.1077,0.29572,0.4,0.26967,0.06468,1.38375,0.98333,2.24638,1.36652,0.00199888,0.00199888,0.00199888
11,77.4883,2.04942,1.7585,2.3324,1.71746,0.7762,0.3,0.42575,0.15508,0.29553,0.7,0.39646,0.07546,1.45339,1.20449,2.34398,1.29757,0.00199862,0.00199862,0.00199862
12,84.3849,1.82625,1.84236,2.18253,1.55722,0.4816,0.3,0.23389,0.09394,0.65589,0.38384,0.38991,0.09857,1.45022,1.15818,2.07483,1.32973,0.00199833,0.00199833,0.00199833
13,91.2735,1.56412,1.56363,1.98222,1.35703,0.44088,0.47494,0.42944,0.12171,0.23066,0.5,0.33601,0.07183,1.67008,1.35412,1.15997,1.37475,0.00199801,0.00199801,0.00199801
14,97.8094,1.80778,1.55237,2.12111,1.52686,0.24513,0.6,0.23858,0.07789,0.28599,0.7,0.27499,0.07984,1.54282,1.08904,1.19727,1.33669,0.00199767,0.00199767,0.00199767
15,104.809,1.83185,1.63027,2.00403,1.5451,0.34776,0.3,0.2386,0.10599,0.34776,0.3,0.20646,0.05689,1.39446,1.46753,1.20418,1.29384,0.00199729,0.00199729,0.00199729
16,111.606,1.57014,1.35158,1.68885,1.35477,0.27627,0.3,0.25416,0.10576,0.39235,0.4,0.32808,0.07928,1.4576,1.10531,1.68488,1.37256,0.00199689,0.00199689,0.00199689
17,118.265,1.91671,1.55995,2.13102,1.67808,0.72805,0.3,0.40383,0.1476,0.40843,0.34813,0.36616,0.11057,1.46935,1.1023,1.31369,1.27149,0.00199647,0.00199647,0.00199647
18,124.908,1.76766,1.48615,1.92891,1.56645,0.6588,0.4,0.4619,0.16462,0.6588,0.4,0.47468,0.17254,1.53845,1.04118,1.23261,1.32686,0.00199601,0.00199601,0.00199601
19,131.477,1.70076,1.28147,1.60985,1.44248,0.61981,0.2,0.28675,0.10151,0.26519,0.5,0.32892,0.07197,1.55052,1.25885,1.3014,1.38579,0.00199553,0.00199553,0.00199553
20,138.033,1.69293,1.31527,1.72724,1.4241,0.15817,0.6,0.1959,0.0736,0.24156,0.3,0.16998,0.03768,1.31008,1.0186,1.19399,1.27442,0.00199502,0.00199502,0.00199502
