epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,207.005,1.70862,1.40686,1.73094,1.41925,0.5445,0.6,0.52317,0.19073,0.73953,0.7,0.59669,0.20722,1.47658,0.9264,1.0983,1.23019,0.00199195,0.00199195,0.00199195
31,213.776,1.66577,1.23384,1.60725,1.3977,0.48104,0.5,0.46534,0.1467,0.70534,0.48121,0.52131,0.13774,1.55929,1.10737,1.23617,1.29572,0.00199138,0.00199138,0.00199138
32,221.006,1.77368,1.52589,1.668,1.47542,0.43514,0.61725,0.36271,0.11747,0.56693,0.7,0.6423,0.19451,1.52152,0.99051,1.28328,1.24925,0.0019908,0.0019908,0.0019908
33,227.645,1.69089,1.17762,1.5698,1.38641,0.47593,0.6,0.44964,0.12448,0.52349,0.7,0.55225,0.18567,1.38326,0.86967,1.64814,1.23771,0.0019902,0.0019902,0.0019902
34,234.419,1.455,1.11061,1.38242,1.2514,0.52521,0.55546,0.49959,0.14487,0.6125,0.63438,0.56509,0.18893,1.20865,0.86857,1.21603,1.18597,0.00198958,0.00198958,0.00198958
35,241.154,1.75337,1.34963,1.66897,1.45653,0.73662,0.56254,0.63182,0.17537,0.65409,0.7,0.68416,0.20102,1.29338,0.97523,1.17836,1.16086,0.00198894,0.00198894,0.00198894
36,247.954,1.5221,1.19542,1.51852,1.30353,0.31195,0.5,0.41467,0.1529,0.58819,0.7,0.59737,0.2186,1.2856,0.84498,1.07285,1.22166,0.00198828,0.00198828,0.00198828
37,254.769,1.42449,1.2307,1.35153,1.20812,0.30024,0.7,0.40276,0.11426,0.40014,0.8,0.45451,0.08614,1.27228,1.10119,1.46199,1.20955,0.0019876,0.0019876,0.0019876
38,261.697,1.59673,1.24064,1.39217,1.38515,0.59285,0.58391,0.51373,0.16011,0.6931,0.67929,0.62642,0.19281,1.26395,0.88753,1.23567,1.1879,0.0019869,0.0019869,0.0019869
39,268.528,1.72725,1.32334,1.59638,1.48837,0.52968,0.6,0.53364,0.1881,0.62112,0.7,0.59826,0.19136,1.29244,0.90099,1.05416,1.19887,0.00198619,0.00198619,0.00198619
40,275.356,1.81185,1.32817,1.55343,1.51987,0.50256,0.5,0.52163,0.21387,0.40957,0.8,0.57112,0.1706,1.10537,0.99309,1.25082,1.16303,0.00198546,0.00198546,0.00198546
41,282.078,1.64253,1.39598,1.54076,1.41628,0.73756,0.6,0.71711,0.22108,0.73756,0.6,0.74001,0.28055,1.25357,0.87386,1.13492,1.079,0.0019847,0.0019847,0.0019847
